frame_number,timestamp_seconds,dominant_emotion,angry,disgust,fear,happy,sad,surprise,neutral
0,0.0,fear,0.0008738989126868546,7.909260091309989e-08,77.17005157470703,0.19799110293388367,3.3884518146514893,0.07030695676803589,19.172319412231445
30,1.0,sad,3.035381555557251,0.08444498479366302,9.544539451599121,1.8629560470581055,67.00942993164062,0.032110441476106644,18.431140899658203
60,2.0,neutral,0.059083063155412674,2.5436100258957595e-05,27.657512664794922,0.04523351043462753,16.203767776489258,0.0034735410008579493,56.030906677246094
90,3.0,angry,52.23326873779297,0.14886771142482758,6.115080833435059,0.29565656185150146,8.217195510864258,1.4144891500473022,31.575441360473633
120,4.0,sad,0.004964457359164953,2.996694456669502e-05,4.822249889373779,0.993518054485321,79.93160247802734,0.0007980268565006554,14.246829986572266
150,5.0,neutral,4.109087944030762,0.05251077190041542,6.283830165863037,0.8676668405532837,5.044515609741211,0.25652632117271423,83.3858642578125
180,6.0,neutral,0.17435671389102936,1.3158188316708674e-08,0.005779098253697157,0.00013166878488846123,4.162110805511475,5.11554799231817e-06,95.6576156616211
210,7.0,sad,0.0005428068106994033,0.042308058589696884,0.0009082728647626936,0.026819400489330292,99.68338775634766,2.4223476202678285e-07,0.2460409700870514
240,8.0,neutral,0.03074374608695507,0.5442072749137878,1.2799640893936157,4.331415766500868e-05,43.42877197265625,0.0002955173549707979,54.71597671508789
270,9.0,neutral,0.03271046653389931,0.6390436291694641,1.3071589469909668,3.166416718158871e-05,46.40693283081055,0.00025059637846425176,51.613868713378906
300,10.0,neutral,4.3703453229682054e-06,2.0848773672510782e-15,1.1877269571414217e-05,1.7270203898078762e-05,0.00338686048053205,7.62807076171157e-07,99.99658203125
330,11.0,neutral,2.4986159801483154,0.005106295924633741,2.1077206134796143,2.9107446670532227,12.54599380493164,0.16624745726585388,79.76557922363281
360,12.0,happy,0.0035146360751241446,1.9922810679418035e-05,2.9188225269317627,92.34241485595703,0.03874368965625763,2.5570497512817383,2.139435291290283
390,13.0,neutral,1.9548228979110718,5.54762918909546e-05,1.3497045040130615,1.3770164251327515,11.170184135437012,0.025334754958748817,84.12288665771484
420,14.0,happy,0.4802626669406891,5.176775175641524e-06,0.008848541416227818,58.273338317871094,0.3579328656196594,0.0014547327300533652,40.8781623840332
450,15.0,fear,0.012275457382202148,0.0013908103574067354,77.21446990966797,3.6632041931152344,0.06655629724264145,1.1170281171798706,17.925077438354492
480,16.0,happy,0.11954916268587112,0.0011655722046270967,0.6362560987472534,98.51258850097656,0.241245836019516,0.015203341841697693,0.4739929437637329
510,17.0,fear,5.297107696533203,0.019956083968281746,52.44537353515625,1.7861932516098022,12.883564949035645,6.66617488861084,20.901636123657227
540,18.0,neutral,0.017307037487626076,4.323022722019232e-07,18.537240982055664,0.5665899515151978,2.6908674240112305,1.0892759561538696,77.09871673583984
570,19.0,happy,0.6109092831611633,4.598693067237036e-06,0.18111161887645721,97.88233947753906,0.8545223474502563,0.0004904012312181294,0.47062066197395325
600,20.0,angry,45.72837448120117,0.08110186457633972,3.6631875038146973,0.07187865674495697,38.838104248046875,0.18075351417064667,11.436600685119629
630,21.0,neutral,3.4912030696868896,0.008366493508219719,12.487236976623535,8.97731876373291,1.6367582082748413,0.9480401873588562,72.45108032226562
660,22.0,surprise,15.058298110961914,0.07711415737867355,26.844024658203125,0.3706502616405487,15.501629829406738,37.383567810058594,4.764707088470459
690,23.0,sad,21.92323875427246,0.0060424418188631535,11.647418975830078,0.3081132471561432,38.01537322998047,0.5151458382606506,27.584671020507812
720,24.0,neutral,15.1549711227417,0.007616345304995775,14.774337768554688,0.4053977429866791,19.95808982849121,3.3092033863067627,46.390384674072266
750,25.0,neutral,12.190950393676758,0.0019037217134609818,24.475351333618164,1.2510907649993896,15.086984634399414,2.279261350631714,44.71445846557617
